name;population;area;continent;GDP;HDI
Afghanistan;32890171;652230;Asia;19793;0.511
Albania;2829741;28748;Europe;14910;0.795
Algeria;45400000;2381741;Africa;147689;0.748
Andorra;79535;468;Europe;2864;0.868
Angola;32097671;1246700;Africa;62307;0.581
Antigua and Barbuda;99337;442;North America;1370;0.778
Argentina;45808747;2780400;South America;383067;0.845
Armenia;2963900;29743;Asia;12641;0.776
Australia;25958069;7692024;Oceania;1423473;0.944
Austria;8979894;83871;Europe;433258;0.922
Azerbaijan;10156366;86600;Asia;42607;0.756
Bahamas;393450;13943;North America;9908;0.814
Bahrain;1501635;765;Asia;33904;0.852
Bangladesh;172310120;147570;Asia;329484;0.632
Barbados;288000;430;North America;4440;0.814
Belarus;9349645;207600;Europe;60259;0.823
Belgium;11617817;30528;Europe;521861;0.931
Belize;430191;22966;North America;1586;0.716
Benin;12506347;112622;Africa;15205;0.545
Bhutan;756129;38394;Asia;2483;0.654
Bolivia;11797257;1098581;South America;36573;0.718
Bosnia and Herzegovina;3320954;51209;Europe;19801;0.780
Botswana;2410338;582000;Africa;15782;0.735
Brazil;214425813;8515767;South America;1444733;0.765
Brunei;429999;5765;Asia;12003;0.838
Bulgaria;6520314;110879;Europe;69888;0.816
Burkina Faso;21510181;272967;Africa;17369;0.452
Burundi;12574571;27834;Africa;3399;0.433
Cambodia;15552211;181035;Asia;25291;0.594
Cameroon;24348251;475442;Africa;39881;0.563
Canada;38601146;9984670;North America;1644037;0.929
Cape Verde;563198;4033;Africa;1704;0.665
Central African Republic;5633412;622984;Africa;2323;0.397
Chad;16818391;1284000;Africa;11154;0.398
Chile;19678363;756102;South America;252940;0.851
China;1412600000;9706961;Asia;14722801;0.761
Colombia;51049498;1141748;South America;271347;0.767
Comoros;758316;1862;Africa;1235;0.554
Congo;5657000;342000;Africa;10100;0.574
Costa Rica;5163038;51100;North America;61521;0.810
Croatia;3888529;56594;Europe;57204;0.851
Cuba;11181595;109884;North America;107352;0.783
Cyprus;888005;9251;Europe;24612;0.887
Czech Republic;10524167;78865;Europe;245349;0.900
Denmark;5873420;43094;Europe;356085;0.940
Djibouti;976107;23200;Africa;3423;0.524
Dominica;72000;751;North America;507;0.742
Dominican Republic;10535535;48671;North America;78845;0.756
DR Congo;92378000;2344858;Africa;45308;0.480
East Timor;1317780;14874;Asia;1902;0.606
Ecuador;17929924;276841;South America;98808;0.759
Egypt;102997437;1002450;Africa;369309;0.707
El Salvador;6825935;21041;North America;24639;0.673
Equatorial Guinea;1505588;28051;Africa;10022;0.592
Eritrea;3601000;117600;Africa;2084;0.459
Estonia;1330068;45227;Europe;30650;0.892
Eswatini;1172000;17364;Africa;3835;0.611
Ethiopia;117876000;1104300;Africa;96611;0.485
Fiji;898402;18272;Oceania;4494;0.743
Finland;5519255;338424;Europe;269751;0.938
France;67813000;551695;Europe;2630318;0.901
Gabon;2233272;267668;Africa;15111;0.703
Gambia;2487000;10689;Africa;1830;0.496
Georgia;3728573;69700;Asia;15892;0.812
Germany;83222442;357114;Europe;3846414;0.947
Ghana;30792608;238533;Africa;68532;0.611
Greece;10678632;131990;Europe;188835;0.888
Grenada;113000;344;North America;1043;0.779
Guatemala;17109746;108889;North America;77605;0.663
Guinea;12907395;245857;Africa;15490;0.477
Guinea-Bissau;1646077;36125;Africa;1315;0.480
Guyana;743699;214969;South America;5471;0.682
Haiti;11743017;27750;North America;15505;0.510
Honduras;9546178;112492;North America;23828;0.634
Hungary;9689000;93028;Europe;155808;0.854
Iceland;376000;103000;Europe;21718;0.949
India;1388718308;3287590;Asia;2664749;0.645
Indonesia;271350000;1904569;Asia;1058424;0.718
Iran;85240804;1648195;Asia;939316;0.783
Iraq;41190700;438317;Asia;166757;0.674
Ireland;5011500;70273;Europe;425889;0.955
Israel;9481820;20770;Asia;407101;0.919
Italy;59045521;301336;Europe;1888709;0.892
Ivory Coast;27087732;322463;Africa;61143;0.538
Jamaica;2734093;10991;North America;13812;0.734
Japan;125340000;377930;Asia;5057759;0.919
Jordan;11156196;89342;Asia;43697;0.729
Kazakhstan;19172640;2724900;Asia;171082;0.825
Kenya;47564296;580367;Africa;101014;0.601
Kiribati;120740;811;Oceania;181;0.630
Kuwait;4670713;17818;Asia;105949;0.806
Kyrgyzstan;6663000;199951;Asia;7736;0.697
Laos;7337783;236800;Asia;19082;0.613
Latvia;1874900;64559;Europe;33707;0.866
Lebanon;6769000;10452;Asia;63546;0.744
Lesotho;2159000;30355;Africa;2273;0.527
Liberia;4661010;111369;Africa;2481;0.480
Libya;6959000;1759540;Africa;29153;0.724
Liechtenstein;39151;160;Europe;6872;0.919
Lithuania;2794961;65300;Europe;56547;0.882
Luxembourg;634730;2586;Europe;73353;0.916
Madagascar;26923353;587041;Africa;13008;0.528
Malawi;18898441;118484;Africa;11762;0.483
Malaysia;32700800;330803;Asia;336664;0.810
Maldives;383135;300;Asia;3743;0.740
Mali;20856000;1240192;Africa;17332;0.434
Malta;514564;316;Europe;14911;0.895
Marshall Islands;54516;181;Oceania;244;0.704
Mauritania;4271197;1030700;Africa;7916;0.546
Mauritius;1266334;2040;Africa;10921;0.804
Mexico;126014024;1964375;North America;1073439;0.779
Micronesia;105754;702;Oceania;403;0.620
Moldova;2597100;33846;Europe;11914;0.750
Monaco;38350;2;Europe;6816;N/A
Mongolia;3425321;1564110;Asia;13137;0.737
Montenegro;621306;13812;Europe;4789;0.829
Morocco;36531713;446550;Africa;114724;0.686
Mozambique;30832244;801590;Africa;14029;0.456
Myanmar;55294979;676578;Asia;70284;0.583
Namibia;2550226;825615;Africa;10710;0.646
Nauru;11832;21;Oceania;135;N/A
Nepal;29192480;147181;Asia;33079;0.602
Netherlands;17696031;41850;Europe;913865;0.944
New Zealand;5132936;270467;Oceania;212044;0.931
Nicaragua;6595674;130373;North America;12621;0.660
Niger;24112753;1267000;Africa;13741;0.394
Nigeria;211401000;923768;Africa;429899;0.539
North Korea;25660000;120538;Asia;15847;N/A
North Macedonia;1832696;25713;Europe;12264;0.774
Norway;5425270;323802;Europe;362522;0.957
Oman;4527446;309500;Asia;63368;0.813
Pakistan;225200000;881912;Asia;257829;0.557
Palau;17957;459;Oceania;264;0.826
Panama;4278500;75417;North America;52938;0.815
Papua New Guinea;9122994;462840;Oceania;23619;0.555
Paraguay;7353038;406752;South America;35304;0.728
Peru;33035304;1285216;South America;203196;0.777
Philippines;111566835;342353;Asia;361489;0.718
Poland;38116000;312679;Europe;596618;0.880
Portugal;10347892;92090;Europe;228539;0.864
Qatar;2799202;11586;Asia;146401;0.848
Romania;19186201;238391;Europe;248716;0.828
Russia;145478097;17098242;Europe;1483498;0.824
Rwanda;12955768;26338;Africa;10332;0.543
Saint Kitts and Nevis;54000;261;North America;927;0.779
Saint Lucia;178696;616;North America;1617;0.759
Saint Vincent and the Grenadines;110696;389;North America;810;0.738
Samoa;199853;2842;Oceania;772;0.715
San Marino;33685;610;Europe;1555;N/A
Sao Tome and Principe;214610;964;Africa;476;0.625
Saudi Arabia;35013414;2149690;Asia;700118;0.854
Senegal;17223497;196722;Africa;24412;0.512
Serbia;6871547;88361;Europe;53335;0.806
Seychelles;99202;452;Africa;1059;0.796
Sierra Leone;8297882;71740;Africa;3787;0.452
Singapore;5453600;710;Asia;339988;0.938
Slovakia;5452025;49037;Europe;105173;0.860
Slovenia;2108977;20273;Europe;53590;0.917
Solomon Islands;728041;28896;Oceania;1546;0.567
Somalia;16360000;637657;Africa;1873;N/A
South Africa;60142978;1221037;Africa;302141;0.709
South Korea;51671569;100210;Asia;1637896;0.916
South Sudan;13249924;619745;Africa;15903;0.433
Spain;47394223;505992;Europe;1281485;0.904
Sri Lanka;22156000;65610;Asia;80677;0.782
Sudan;44237640;1886068;Africa;62057;0.510
Suriname;598000;163820;South America;4120;0.738
Sweden;10452326;450295;Europe;541064;0.945
Switzerland;8717105;41284;Europe;752248;0.955
Syria;18276000;185180;Asia;15572;0.567
Tajikistan;9504000;143100;Asia;7997;0.668
Tanzania;59441988;945087;Africa;64740;0.529
Thailand;66759855;513120;Asia;501795;0.777
Togo;7886000;56785;Africa;7146;0.515
Tonga;99532;747;Oceania;491;0.725
Trinidad and Tobago;1367558;5130;North America;21393;0.796
Tunisia;11746695;163610;Africa;39218;0.740
Turkey;84680273;783562;Europe;720098;0.820
Turkmenistan;6118000;488100;Asia;42845;0.715
Tuvalu;10679;26;Oceania;55;N/A
Uganda;42885900;241550;Africa;38702;0.544
Ukraine;41167336;603500;Europe;155582;0.779
United Arab Emirates;9503738;83600;Asia;358869;0.890
United Kingdom;67081234;242900;Europe;2764198;0.932
United States;333321543;9372610;North America;20893746;0.926
Uruguay;3554915;181034;South America;53629;0.817
Uzbekistan;35405109;447400;Asia;57707;0.720
Vanuatu;301295;12189;Oceania;855;0.609
Venezuela;28705000;916445;South America;106359;0.711
Vietnam;98510000;331212;Asia;271158;0.704
Yemen;30491000;527968;Asia;27958;0.470
Zambia;18400556;752612;Africa;18111;0.584
Zimbabwe;15790716;390757;Africa;21787;0.571
